Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,TA_restaurants_curated.Price Range
131 Boulevard Exelmans,restaurant,85073,48.847292959165,2.2591710090637,Paris,Les Deux Stations,4b92409df964a5207dee33e3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85073,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85073,$$ - $$$
132 avenue de France,restaurant,89865,48.831943,2.376228,Paris,Le Camion Qui Fume,4fc12db1e4b03f9cf9a7e0da,0,Food Truck,http://tour-pedia.org/api/getPlaceDetails?id=89865,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89865,$
135 Avenue de Choisy,restaurant,87548,48.826960308398,2.3592426306234,Paris,Pho 13,4d20ce00bdd7a0939b74f0ce,0,Vietnamese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87548,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87548,$
148 boulevard berthier,restaurant,87008,48.887637612294,2.297697910691,Paris,Sakura,4c868cb8d4e23704b0448c88,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87008,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87008,$$ - $$$
15 rue Cail,restaurant,87931,48.882750132166,2.3603629495034,Paris,Chettinadu,4d8c6127fdd3b1f7cdd46bda,0,Indian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87931,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87931,$
15 rue de la Roquette,restaurant,91672,48.854302,2.371175,Paris,Bagelstein,52382bd811d23729533590b8,0,Bagel Shop,http://tour-pedia.org/api/getPlaceDetails?id=91672,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91672,$
15 rue Montalivet,restaurant,83868,48.8711087644,2.3183727264404,Paris,Bugsy's,4b092e36f964a520961423e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=83868,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83868,$$ - $$$
"15, rue de Pommard",restaurant,86377,48.835967,2.384552,Paris,Kinoko Sushi,4c03bef6310fc9b6d242c661,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86377,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86377,$$ - $$$
150 Rue Raymond Losserand,restaurant,87250,48.830941,2.312384,Paris,Yoki Sushi,4cb833b7bac93704757fda7c,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87250,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87250,$
158 rue de longchamp,restaurant,87278,48.86822911958,2.2749011161835,Paris,Le Longchamp,4cc01ce200d837041523485c,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87278,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87278,$$ - $$$
